iter	Passed	Remaining
0	132	132576
1	137	68424
2	141	46888
3	144	35938
4	146	29183
5	148	24608
6	150	21297
7	152	18943
8	154	17023
9	155	15437
10	157	14120
11	158	13032
12	159	12100
13	160	11301
14	161	10611
15	162	9999
16	163	9458
17	164	8971
18	166	8616
19	167	8228
20	168	7872
21	169	7541
22	170	7243
23	171	6971
24	172	6716
25	173	6481
26	173	6262
27	174	6057
28	175	5869
29	175	5688
30	176	5519
31	177	5361
32	177	5213
33	178	5073
34	179	4940
35	181	4848
36	181	4731
37	182	4622
38	183	4514
39	183	4412
40	184	4315
41	185	4225
42	185	4137
43	186	4052
44	187	3971
45	187	3893
46	188	3822
47	189	3750
48	189	3682
49	190	3616
50	190	3552
51	191	3491
52	192	3432
53	192	3375
54	193	3321
55	194	3273
56	195	3231
57	196	3183
58	196	3137
59	197	3091
60	197	3046
61	198	3003
62	199	2961
63	199	2923
64	200	2885
65	201	2847
66	201	2810
67	202	2774
68	203	2739
69	203	2706
70	204	2672
71	204	2641
72	205	2610
73	206	2578
74	206	2549
75	207	2520
76	207	2491
77	208	2466
78	210	2448
79	210	2423
80	211	2398
81	211	2373
82	212	2346
83	212	2321
84	213	2298
85	214	2275
86	214	2253
87	215	2232
88	216	2211
89	216	2191
90	217	2170
91	217	2150
92	218	2131
93	219	2112
94	219	2093
95	220	2074
96	220	2056
97	221	2038
98	222	2020
99	222	2003
100	223	1988
101	224	1977
102	225	1962
103	226	1947
104	226	1932
105	227	1917
106	227	1902
107	228	1887
108	229	1873
109	229	1859
110	230	1846
111	231	1832
112	231	1819
113	232	1805
114	232	1792
115	233	1779
116	234	1766
117	234	1754
118	235	1742
119	235	1730
120	236	1718
121	237	1706
122	237	1694
123	238	1684
124	239	1676
125	240	1666
126	240	1655
127	241	1644
128	242	1634
129	242	1623
130	243	1613
131	243	1604
132	244	1595
133	245	1586
134	246	1576
135	246	1567
136	247	1558
137	248	1549
138	248	1540
139	249	1530
140	249	1521
141	250	1511
142	250	1503
143	251	1494
144	251	1485
145	252	1477
146	253	1469
147	254	1464
148	255	1457
149	255	1450
150	256	1442
151	257	1434
152	257	1426
153	258	1419
154	259	1412
155	259	1405
156	260	1398
157	261	1391
158	261	1384
159	262	1377
160	262	1369
161	263	1362
162	263	1355
163	264	1348
164	265	1342
165	265	1335
166	266	1328
167	266	1322
168	267	1315
169	268	1311
170	269	1305
171	269	1298
172	270	1292
173	271	1287
174	271	1281
175	272	1275
176	273	1269
177	273	1263
178	274	1258
179	274	1252
180	275	1246
181	276	1241
182	276	1235
183	277	1229
184	277	1224
185	278	1218
186	279	1213
187	279	1207
188	280	1202
189	281	1198
190	282	1195
191	282	1190
192	283	1185
193	284	1180
194	284	1175
195	285	1170
196	286	1166
197	286	1161
198	287	1157
199	288	1152
200	288	1147
201	289	1143
202	290	1138
203	290	1134
204	291	1129
205	291	1124
206	292	1120
207	292	1115
208	293	1110
209	294	1106
210	294	1102
211	295	1098
212	297	1097
213	298	1094
214	298	1091
215	299	1087
216	300	1083
217	300	1079
218	302	1078
219	303	1074
220	303	1070
221	304	1067
222	305	1065
223	306	1061
224	307	1058
225	307	1054
226	308	1050
227	309	1047
228	310	1047
229	312	1044
230	312	1041
231	313	1037
232	314	1033
233	314	1029
234	315	1026
235	315	1022
236	316	1019
237	317	1015
238	317	1012
239	318	1008
240	319	1004
241	319	1001
242	320	997
243	320	994
244	321	990
245	322	987
246	322	983
247	323	980
248	323	976
249	324	973
250	325	970
251	326	968
252	327	965
253	327	962
254	328	959
255	329	956
256	329	953
257	330	950
258	331	947
259	331	944
260	332	941
261	333	937
262	333	934
263	334	932
264	334	929
265	335	925
266	336	922
267	336	919
268	337	916
269	337	913
270	338	910
271	339	907
272	340	906
273	341	904
274	342	902
275	342	899
276	343	896
277	344	893
278	344	890
279	345	888
280	346	885
281	346	882
282	347	880
283	347	877
284	348	874
285	349	871
286	349	868
287	350	866
288	350	863
289	351	860
290	352	857
291	352	855
292	353	852
293	353	849
294	354	847
295	355	846
296	356	844
297	357	841
298	357	839
299	358	836
300	359	834
301	359	831
302	360	829
303	361	827
304	361	824
305	362	822
306	363	819
307	363	817
308	364	814
309	365	812
310	365	809
311	366	807
312	366	804
313	367	802
314	367	800
315	368	797
316	369	795
317	370	793
318	370	791
319	371	789
320	372	787
321	372	784
322	373	782
323	374	780
324	374	778
325	375	776
326	376	774
327	376	771
328	377	769
329	378	767
330	378	765
331	379	762
332	379	760
333	380	758
334	380	756
335	381	753
336	382	751
337	382	749
338	383	747
339	383	745
340	385	744
341	385	742
342	386	740
343	387	738
344	387	735
345	388	733
346	389	732
347	389	730
348	390	728
349	390	725
350	391	723
351	392	721
352	392	719
353	393	717
354	394	715
355	394	713
356	395	711
357	395	709
358	396	707
359	396	705
360	397	703
361	398	701
362	399	700
363	400	699
364	401	697
365	401	695
366	402	693
367	402	691
368	403	690
369	404	688
370	405	686
371	405	684
372	406	682
373	406	681
374	407	679
375	408	677
376	408	675
377	409	673
378	409	671
379	410	669
380	411	668
381	411	666
382	412	664
383	413	662
384	414	661
385	415	660
386	415	658
387	416	656
388	416	654
389	417	653
390	418	651
391	419	650
392	419	648
393	420	646
394	421	644
395	421	643
396	422	641
397	423	639
398	423	638
399	424	636
400	424	634
401	425	632
402	426	631
403	426	629
404	427	627
405	429	628
406	430	626
407	431	625
408	432	624
409	432	622
410	433	621
411	434	619
412	434	618
413	435	616
414	436	614
415	436	613
416	437	611
417	437	609
418	438	608
419	439	606
420	439	604
421	440	603
422	440	601
423	441	599
424	442	598
425	443	596
426	444	596
427	444	594
428	445	593
429	446	591
430	446	589
431	447	588
432	448	586
433	448	585
434	449	583
435	450	582
436	450	580
437	451	579
438	452	577
439	452	576
440	453	574
441	453	572
442	454	571
443	454	569
444	455	568
445	456	566
446	456	565
447	458	565
448	459	563
449	460	562
450	461	561
451	461	559
452	462	558
453	463	557
454	464	555
455	464	554
456	465	553
457	466	551
458	466	550
459	467	548
460	467	547
461	468	545
462	469	544
463	469	542
464	470	541
465	470	539
466	471	538
467	473	538
468	474	537
469	475	535
470	475	534
471	476	532
472	476	531
473	477	530
474	478	528
475	479	527
476	479	525
477	480	524
478	480	522
479	481	521
480	482	520
481	482	518
482	483	517
483	483	515
484	484	514
485	485	512
486	485	511
487	486	510
488	486	508
489	487	507
490	488	506
491	489	505
492	490	504
493	490	502
494	491	501
495	492	500
496	492	498
497	493	497
498	494	496
499	494	494
500	495	493
501	495	491
502	496	490
503	497	489
504	497	487
505	498	486
506	498	485
507	499	483
508	500	482
509	500	481
510	501	479
511	502	478
512	503	477
513	504	476
514	505	475
515	505	474
516	506	473
517	507	472
518	508	470
519	508	469
520	509	468
521	509	466
522	510	465
523	511	464
524	511	462
525	512	461
526	512	460
527	513	459
528	514	457
529	514	456
530	515	455
531	516	453
532	516	452
533	517	451
534	518	450
535	519	450
536	520	448
537	521	447
538	522	446
539	522	445
540	523	444
541	524	442
542	524	441
543	525	440
544	526	439
545	526	437
546	527	436
547	527	435
548	528	434
549	529	432
550	529	431
551	532	432
552	533	431
553	534	430
554	534	428
555	535	427
556	537	427
557	537	426
558	538	424
559	539	423
560	540	422
561	540	421
562	541	420
563	542	419
564	542	418
565	543	416
566	544	415
567	544	414
568	547	414
569	547	413
570	548	412
571	549	411
572	550	409
573	550	408
574	551	407
575	551	406
576	552	405
577	553	403
578	553	402
579	554	401
580	555	400
581	555	399
582	556	397
583	557	396
584	557	395
585	558	394
586	559	393
587	561	393
588	562	392
589	563	391
590	564	390
591	565	389
592	565	388
593	566	387
594	566	385
595	567	384
596	568	383
597	568	382
598	569	381
599	570	380
600	571	379
601	572	378
602	572	377
603	573	376
604	574	374
605	576	374
606	577	373
607	577	372
608	578	371
609	579	370
610	579	369
611	580	367
612	581	367
613	581	365
614	582	364
615	583	363
616	583	362
617	584	361
618	585	360
619	585	358
620	586	357
621	586	356
622	587	355
623	588	354
624	588	353
625	589	352
626	590	351
627	591	350
628	592	349
629	592	348
630	593	347
631	594	346
632	594	344
633	595	343
634	596	342
635	597	341
636	597	340
637	598	339
638	599	338
639	599	337
640	600	336
641	600	335
642	601	333
643	602	332
644	602	331
645	603	330
646	603	329
647	604	328
648	605	327
649	606	326
650	607	325
651	608	324
652	608	323
653	609	322
654	609	321
655	610	320
656	611	319
657	611	318
658	612	317
659	613	315
660	613	314
661	614	313
662	615	312
663	615	311
664	616	310
665	616	309
666	617	308
667	618	307
668	618	306
669	619	305
670	620	304
671	621	303
672	622	302
673	623	301
674	623	300
675	624	299
676	624	298
677	625	297
678	626	296
679	626	295
680	627	293
681	628	292
682	628	291
683	629	290
684	630	289
685	630	288
686	631	287
687	631	286
688	632	285
689	633	284
690	633	283
691	634	282
692	635	281
693	636	280
694	637	279
695	637	278
696	638	277
697	639	276
698	639	275
699	640	274
700	641	273
701	641	272
702	642	271
703	643	270
704	643	269
705	644	268
706	644	267
707	645	266
708	646	265
709	646	264
710	647	263
711	647	262
712	648	261
713	649	260
714	650	259
715	651	258
716	652	257
717	652	256
718	653	255
719	654	254
720	654	253
721	655	252
722	656	251
723	656	250
724	657	249
725	658	248
726	658	247
727	659	246
728	660	245
729	660	244
730	661	243
731	661	242
732	662	241
733	662	240
734	663	239
